"Title: Distribution of Health Care Expenditures by Service by State of Residence (in millions) | KFF"
"Timeframe: 2020"
"Location","Hospital Care","Physician and Other Professional Services","Prescription Drugs and Other Medical Nondurables","Nursing Home Care","Dental Services","Home Health Care","Medical Durables","Other Health, Residential, and Personal Care","Total"
"United States","$1270149","$926901","$434160","$196804","$142405","$123717","$54904","$208793","$3357832"
"Alabama","$16489","$12744","$8291","$2583","$1775","$1249","$797","$1745","$45673"
"Alaska","$3511","$4058","$644","$145","$465","$125","$108","$918","$9975"
"Arizona","$24217","$19819","$8070","$2560","$3244","$1716","$1449","$3906","$64980"
"Arkansas","$11129","$7594","$4059","$1790","$1134","$950","$342","$1301","$28300"
"California","$151093","$119277","$44123","$18452","$17848","$18911","$4649","$31098","$405451"
"Colorado","$18369","$14944","$5144","$2785","$3147","$1898","$1112","$2450","$49849"
"Connecticut","$15322","$11663","$6360","$3610","$1816","$1217","$553","$3884","$44425"
"Delaware","$5306","$3229","$1743","$780","$487","$360","$206","$617","$12729"
"District of Columbia","$4029","$2620","$1394","$497","$287","$379","$88","$958","$10251"
"Florida","$69462","$69980","$32763","$11750","$9229","$8849","$5972","$6402","$214408"
"Georgia","$34888","$29539","$13383","$4071","$4157","$2537","$1687","$3540","$93803"
"Hawaii","$5324","$4267","$2565","$739","$585","$345","$286","$370","$14480"
"Idaho","$6494","$3816","$1421","$690","$890","$443","$283","$849","$14886"
"Illinois","$50685","$35212","$15366","$9253","$5626","$3734","$1945","$6442","$128263"
"Indiana","$28069","$19558","$8910","$5063","$2833","$1841","$1258","$3508","$71040"
"Iowa","$12999","$7739","$3279","$2907","$1352","$627","$484","$1582","$30968"
"Kansas","$11394","$7586","$2724","$2063","$1354","$667","$407","$1219","$27414"
"Kentucky","$19204","$12021","$6472","$2705","$1522","$862","$744","$2391","$45922"
"Louisiana","$19950","$12159","$7102","$2802","$1717","$1870","$511","$2735","$48845"
"Maine","$6329","$3928","$1933","$884","$609","$473","$208","$1942","$16306"
"Maryland","$23500","$20441","$7670","$4345","$2713","$1649","$900","$4423","$65641"
"Massachusetts","$34895","$22609","$10129","$5715","$3845","$5178","$1431","$8014","$91817"
"Michigan","$39132","$25167","$13260","$5826","$4306","$3742","$3224","$3981","$98638"
"Minnesota","$22872","$14794","$5306","$4423","$2810","$3386","$836","$6931","$61357"
"Mississippi","$11243","$6942","$4166","$1842","$1013","$781","$556","$1328","$27870"
"Missouri","$24331","$15363","$8764","$4498","$2359","$1785","$736","$3194","$61031"
"Montana","$4984","$2979","$830","$591","$561","$193","$195","$701","$11035"
"Nebraska","$8345","$5541","$2428","$1356","$817","$371","$381","$1131","$20371"
"Nevada","$8840","$8292","$3879","$935","$1373","$1279","$537","$1064","$26200"
"New Hampshire","$6373","$4106","$1738","$1093","$885","$542","$269","$1106","$16113"
